name,address,city,state,zipcode,phone,hours,email,website,store_front,age_range,deliver,lat,lng,county
"Herbal 420 Caregivers, Inc.- Temporarily Closed",5963 Van Nuys Blvd,Van Nuys,CA,91401,8187860844,Monday - Saturday 10:00AM to 9:30PM,herbal420caregiver@att.net,,,,,34.1792106,-118.4487319,Los Angeles
Our Green Planet Collective,14624 Victory Blvd,Van Nuys,CA,91411,8183768512,Sun-Thurs. 11am to 10pm  Fri-Sat 11am to 1am,ourgreenplanet@att.net,,,,,34.186343,-118.451907,Los Angeles
Sherman Oaks Collective Care,14200 Ventura Blvd,Sherman Oaks,CA,91423,8187838332,Mon-Sat 10am to 8pm Sun 11am to 6pm,,,,,,34.149453,-118.442108,Los Angeles
FOLK REMEDIES FACTORY - Temporarily Closed,11203 Glenoaks Blvd,Pacoima,CA,91331,8188348304,M - F 11am - 8pm / Sat 10am - 8pm / Sun 10am - 5pm,folkremedies@verizon.net,,,,,34.273731,-118.412253,Los Angeles
Kush Corner Collective (KCC),7135 Kester Ave,Van Nuys,CA,91405,8185682202,Mon. to Thurs. 10a to 11p & Fri. to Sun. 10a to 9:30p,,,,,,34.2004361,-118.4574781,Los Angeles
Sun Valley Caregivers,11000 Randall St,Sun Valley,CA,91352,8185042661,,,,,Yes,,34.2382807,-118.369764,Los Angeles
Greenlight Discount Pharmacy,15507 Cobalt St,Sylmar,CA,91342,8182561964,Mon-Sat 11am to 7pm Sun 11am to 5pm,,,,,,34.3069011,-118.4697186,Los Angeles
Green Moon Healing Center (GMHC) - Temporarily Closed,12737 Glenoaks Blvd,Sylmar,CA,91342,8183671397,mon - sat 9a - 8p | sun 10a - 7p,,,,,,34.301508,-118.442622,Los Angeles
HHC/HLA,8942 Woodman Ave,Arleta,CA,91331,8184538085,10AM-8PM,hlacollective@gmail.com,,Yes,Yes,,34.232628,-118.437957,Los Angeles
Natural Health Supply - Temporarily Closed,505 San Fernando Mission Blvd,San Fernando,CA,91340,8188120818,,,,,,,34.282218,-118.4456637,Los Angeles
ORANGE COUNTY PATIENTS COLLECTIVE / First Time Patient Specials!,15142 Jackson St.,Westminster,CA,92683,7148928647,"Mon-Sat 11:00-8:00, Sun 11:00-6:30",ocpatientscollective@yahoo.com,http://orangecountypatientscollective.com,Yes,Yes,,33.7592412,-117.9875772,Orange
Chron2theDo-Sun.7:02AM Give  5 cans of food Help the homeless! Get a 1/2 gram added to your order!!!,,Fullerton,CA,92833,7144992374,Everyday 8:00am-10:30pm,fhurst1st@gmail.com,http://www.chron2thedo.org,,Yes,Yes,33.8749591,-117.9659037,Orange
HILLSIDE MEDICAL DELIVERY-SAT-1:35P.M.-HELP THE HOMELESS GET 1/2 GRAM WITH YOUR ORDER !!,,Fullerton,CA,92833,7149836664,10A.M.- 10P.M. EVERYDAY,hillsidemedicaldelivery@gmail.com,http://www.hillsidemedical.org,,Yes,"Hillside Medical Delivery                        
                        Yes",33.8749591,-117.9659037,Orange
Delivery is Free to all of O.C.!! Platnum Evil Bubba!! Orange Kush! Purple Diesel!!,,La Habra,CA,90631,7143424215,"9 to 9 except Sat and Sun, By appointment only!!",,http://www.pro215.com/,,Yes,Yes,33.9319578,-117.9461734,Orange
Clean Green,6622 Westminster Blvd,Westminster,CA,92683,7148977319,11:00 A.M.-11:00 P.M. 7 Days a week,cgcwestminster@gmail.com,,Yes,Yes,,33.758741,-118.013216,Orange
Physis NC,1211 W Imperial Hwy,Brea,CA,92835,7146809500,Mon-Sat 10AM-8PM. - Sun 12PM-6PM,info@physisnc.com,http://www.physisnc.com,,Yes,,33.9173889,-117.9171943,Orange
5 Star Care Collective - 8 grams $100 All strains,,Buena Park,CA,90620,7144991178,9 a.m. to 9 p.m. / 7 days a week,FiveStarCareCollective@yahoo.com,http://legalmarijuanadispensary.com,,Yes,Yes,33.8428724,-118.0127534,Orange
BORG - TOP QUALITY  INDOOR  STRAINS OF MEDICINE.,210 Hospital Cir,Westminster,CA,92683,7148975599,Mon-Sat 10:30-8 and Sunday 12-7,borgcoop@gmail.com,,Yes,Yes,,33.762133,-117.994426,Orange
Rite Greens- Now open at 7:00 AM! *First time patients get a free gram plus spin the prize wheel!*,1801 E Edinger Ave,Santa Ana,CA,92705,7145587167,7am-9pm Mon-Sat  Sun 11am-8pm,ritegreens@att.net,http://www.ritegreens.com,Yes,,,33.727298,-117.842319,Orange
"PACIFIC ISLAND CARE - Huntington Beach, Garden Grove, Long Beach, Seal Beach",14022 Edwards St,Westminster,CA,92683,7148988652,"M - Sa 11am-8pm, Sun 12pm - 6pm",info@pacislandcare.com,,Yes,Yes,,33.758504,-118.015533,Orange
MedMar Collective,14020 Rancho Ave,Westminster,CA,92683,7148937777,12pm - 8pm,medmarcollectivewest@gmail.com,http://www.medmarcares.com,Yes,,,33.7586208,-118.0300562,Orange
Southern California Compassionate Sanctuary (SCCS),,Yorba Linda,CA,92886,7148093384,9am-9pm,greensanctuary@hotmail.com,http://www.sccs1.org,,,Yes,33.9011405,-117.7959713,Orange
HOPE Delivery 4 gram 1/8,,Westminster,CA,92683,7144789932,7 Days A Week,HopeDelivery@gmail.com,,,,"HOPE Delivery                        
                        Yes",33.759183,-118.0067271,Orange
Organic Garden,Call 714- 675- 5329 for directions and preverification.,Anaheim,CA,92804,7146755329,11am - 10pm,og.collective@yahoo.com,,Yes,Yes,Yes,33.8132409,-117.9659037,Orange
215DELIVERIES.COM - Orange County,,Huntington Beach,CA,92648,7142924202,"10am-10pm, 7 Days a Week",215deliveries@gmail.com,http://www.215deliveries.com/,,,"215Deliveries.com - Orange County                        
                        Yes",33.6781963,-118.0127534,Orange
WeeDeliverFree.Org~Ask your primary Doctor to talk to us! If we get them to agree your rec. is free!,1001 W Chapman Ave,Fullerton,CA,92832,7149279535,DAILY 8:00 AM - 9:00PM,freeride@weedeliverfree.org,http://www.WeeDeliverFree.Org,Yes,,"WeeDeliverFree.Org - We're here to help you!                        
                        http://www.WeeDeliverFree.Org                        
                        Yes",33.8738571,-117.942024,Orange
CaregiversExpress.com,,Fullerton,CA,92832,7149828810,Mon - Sun 10am -7pm,staff@caregiversexpress.com,http://www.CaregiversExpress.com,,,Yes,33.8733037,-117.9307584,Orange
202 MEDS,6765 Westminster Blvd,Westminster,CA,92683,7142026337,,202MEDS@gmail.com,,Yes,,,33.761294,-118.008522,Orange
Medical-Marijuana.com - DELIVERY throughout CA,MAILING ADDRESS listed at http://medical-marijuana.com,Fresno,CA,93703,7144884610,,info@medical-marijuana.com,http://www.medical-marijuana.com/,Yes,,Yes,36.7687871,-119.7599761,Fresno
North County Patients Collective Association,2361 W Whittier Blvd,La Habra,CA,90631,5626919100,Mon-Thur. 10am-9pm    Fri-Sat. 10am-10pm    Sun. 11am-8pm,,,,,,33.9398639,-117.9727683,Orange
Chill (Collectively Healing the Ill),Beach Blvd,Westminster,CA,92683,9495547175,,,,,,,33.7483678,-117.9894091,Orange
Beach Quality Caregivers,7852 Bolsa Ave,Midway City,CA,92655,7148995874,Monday-Saturday 10am-8pm Sunday 10am-6pm,beachcaregivers@yahoo.com,,,,,33.7442939,-117.991792,Orange
GreenLife 420 Caregivers,7032 Hazard ave #7 (Hazard & Goldenwest Behind 7-11 store),Westminster,CA,92683,5624506193,Open 7 days a week 11:30am-8:00pm,info@greenlife420caregivers.com,,,,,33.759183,-118.0067271,Orange
My Own Remedies,,Orange,CA,92856,7144926113,10 A.M. to 10 P.M.,infor@myownremedies.org,,,,Yes,33.79,-117.88,Orange
UTOPIA COLLECTIVE GROUP,7822 Westminster Blvd,Westminster,CA,92683,7145124110,,Utopiacollective@yahoo.com,,Yes,,,33.758945,-117.992582,Orange
Synchronicity Street,15112 Adams St,Midway City,CA,92655,7144216605,M-Sat,synchronicitystreet@yahoo.com,,,Yes,,33.7430297,-117.9883526,Orange
P.O.T- Tested and proven quality...ENOUGH SAID! Setting Standards for whats to come,3148 E La Palma Ave,Anaheim,CA,92806,7146328812,10 am -9 pm  7 Days a week,info@potpca.com,http://potpca.com,Yes,,,33.8513993,-117.855829,Orange
Mid-County Patients Association (MCPA),3164 E La Palma Ave,Anaheim,CA,92806,7146306272,10am to 8pm  7 days,mcpagroup@att.net,http://midcountypatients.org/,Yes,Yes,,33.85015,-117.854256,Orange
"Green City Collective... 1st time patiens receive ""FREE GRAM"" of our choice minimum gram donation",1671 W Katella Ave,Anaheim,CA,92802,7146359600,Mon-Sat.10am-10pm & Sun.10am-6pm,greencityinc@yahoo.com,http://www.facebook.com/home.php?#!/pages/Anaheim-CA/Green-City-Collective/272789020218?ref=ts,,,,33.8032483,-117.9404091,Orange
Rite Greens- Now open at 7:00 AM! *First time patients get a FREE gram plus spin the prize wheel!*,1801 E Edinger Ave,Santa Ana,CA,92705,7145587167,7am to 9pm Mon-Sun,ritegreens@att.net,http://www.ritegreens.com,Yes,Yes,,33.727298,-117.842319,Orange
Anaheim Palliative Care Center,1125 N Magnolia Ave,Anaheim,CA,92801,7148215874,Mon to Sat 11am to 8pm Sundays 12pm to 6pm,admin@anaheimpalliativecarecenter.com,http://www.anaheimpalliativecarecenter.com,,Yes,,33.847975,-117.976728,Orange
PAMA - Patient Alternative Medicine Association - HOURS 10-8 EVERY DAY; Anaheim Hills,4506 E La Palma Ave,Anaheim,CA,92807,7144084466,10-8 EVERY DAY,Info@ocpama.com,http://www.ocpama.com/,Yes,,,33.859169,-117.818024,Orange
ANAHEIM HERBAL HEALING CENTER,126 N Brookhurst St,Anaheim,CA,92801,7148604080,MON-SAT 10AM-8PM / SUN 11AM-7PM,AHHCCENTER@GMAIL.COM,,,,,33.8337656,-117.9587627,Orange
A.M.C - American Medical Co-Op,1100 E Orangefair Ln,Anaheim,CA,92801,7146805874,11 am - 8pm Sunday 11am-7 pm,qasem_mahd@yahoo.com,,,Yes,,33.855564,-117.907779,Orange
HILLSIDE MEDICAL DELIVERY-SAT-1:35P.M.-HELP THE HOMELESS GET 1/2 GRAM WITH YOUR ORDER !!,,Fullerton,CA,92833,7149836664,10AM TO 10PM EVERYDAY,hillsidemedicaldelivery@gmail.com,http://www.hillsidemedical.org,,Yes,"Hillside Medical Delivery                        
                        Yes",33.8749591,-117.9659037,Orange
SOCCA - You will not find this high of a quality med for such a low donation anywhere,,Anaheim,CA,92805,8663213459,7 Days A Week,Info@bestmeds.org,http://bestmeds.org/,,,Yes,33.8276052,-117.9073244,Orange
"Patients Choice Collective Association - 17th St., SA",1535 E 17th St,Santa Ana,CA,92705,7148367222,10am - 9pm Every day,info@patientschoicecollective.net,http://www.patientschoicecollective.net/,Yes,Yes,,33.760239,-117.846293,Orange
CALICCG-Where Discretion is our profession!,,Anaheim,CA,92807,7142724585,10am to ?,donations@caliccg.com,http://www.caliccg.com,,Yes,Yes,33.8413699,-117.7666567,Orange
215DELIVERIES.COM - Orange County,,Anaheim,CA,92805,7142924202,"10am-10pm, 7 Days a Week",215Deliveries@gmail.com,http://www.215deliveries.com/,,,"215Deliveries.com - Orange County                         
                        Yes",33.8276052,-117.9073244,Orange
ORANGE COUNTY WELLNESS SERVICES,2000 W Lincoln Ave,Anaheim,CA,92801,7146355101,M-Sat 10:30-8:00 Sun 11:00-6:00,jon@ocwellnessservices.com,http://wellnesssservices.com,Yes,Yes,,33.832443,-117.9542936,Orange
Orange County Health and Wellness Center,110 N Tustin Ave,Anaheim,CA,92807,7142798010,"11am-8pm, 7 days a week",orangecountyhealthandwellness@gmail.com,,Yes,,,33.8431708,-117.8329412,Orange
OC Confidential,1230 N Jefferson St,Anaheim,CA,92807,7147576830,10am to 8pm,staff@oc-confidential.com,,Yes,,,33.8620966,-117.8370026,Orange
Call The Doc,1616 S Clementine St,Anaheim,CA,92802,7148080176,10AM - 8PM,callthedoc714@yahoo.com,,Yes,,,33.8084939,-117.9098566,Orange
Four Twenty Savior,710 S Brookhurst St,Anaheim,CA,92804,7149835689,MON-SUN 10-7,fourtwentysavior.oc@gmail.com,,,,,33.82202,-117.958338,Orange
420 Primary Caregivers,231 N Brookhurst St,Anaheim,CA,92801,7147583500,12pm to 6pm,,,,,,33.834948,-117.95932,Orange
Next Dimension,1025 E Katella Ave,Anaheim,CA,92805,7143858148,10-8 everyday,QoLCoopinc@gmail.com,,Yes,,,33.8034304,-117.8974149,Orange
Eco Friendly Solutions,1811 W Katella Ave,Anaheim,CA,92804,7142718240,11am-8pm,,,Yes,,,33.803719,-117.946415,Orange
California Patients Association - CPA / NUGGETRY,1201 E 17th St,Santa Ana,CA,92701,7145425600,Mon-Sat 10-9 / Sun 10-6,info@cpa420.com,http://www.cpa420.com,Yes,Yes,,33.7600147,-117.8538708,Orange
Go N' Green: IS MOVING BACK TO 17TH St SOON...stay tuned for more info,1801 E Edinger Ave,Santa Ana,CA,92705,7147660420,10 am - 10 pm 7 DAYS A WEEK,info@gngreen.com,http://www.gngreen.com,Yes,Yes,Yes,33.727298,-117.842319,Orange
Premium Green: FRESH EDIBLES IN NOW!!! NEW MENU!! NEW LOW DONATIONS!!,"1905  E. 17 Street, Santa Ana, CA 92705 (-SUITE 201 - 2nd FL-)",Santa Ana,CA,92705,7148350500,OPEN 7 DAYS A WEEK 11AM- 9PM,info@premiumgreenpca.com,http://premiumgreenpca.com/index.html,Yes,Yes,,33.7455731,-117.8678338,Orange
Healing OC *2 grams for $20* limited time- $55 Cap on EVERYTHING! 4.0 gram 1/8ths all day everyday!*,1665 E 4th St,Santa Ana,CA,92701,7148354206,11 A.M.-9 P.M. Everyday,healingoc@gmail.com,http://www.healingoc.com,Yes,Yes,,33.748449,-117.844364,Orange
Rite Greens- Now open at 7:00 AM! *First time patients get a free gram plus spin the prize wheel!*,1801 E Edinger Ave,Santa Ana,CA,92705,7145587167,7am-9pm Mon-Sun,ritegreens@att.net,,Yes,Yes,,33.727298,-117.842319,Orange
CLUB MEDS- VOTED BEST IN OC!!!,1015 W 1st St,Santa Ana,CA,92703,9498259815,10am - 9pm M-Sat. 10-7 Sun,,,Yes,Yes,,33.7456228,-117.8781524,Orange
SoCal Compassion,1651 E Edinger St Ste 209 (Up Stairs),Santa Ana,CA,92705,7144171322,See Below for details!!,socalcompassion@gmail.com,,Yes,Yes,,33.7455731,-117.8678338,Orange
$45 CAP American Patient Collective,2550 N Grand Ave,Santa Ana,CA,92705,7147448206,10AM - 10PM,americanpatientcollective.apc@gmail.com,,,Yes,,33.7714438,-117.8524739,Orange
Aloha Community Collective Assc. $10 Kush Grams!!,2112 E 4th St,Santa Ana,CA,92705,7148341234,10 AM TO 7 PM DAILY,alohacca@yahoo.com,http://www.thedopeman.com,Yes,,,33.7481165,-117.8358946,Orange
"OCPC, New Strains Just In,$15G 4PM-8PM,"" $45-$50 CAP ON ALL EIGHTS**55fwy & Dyer",1921 Carnegie Ave,Santa Ana,CA,92705,9497526272,"M-SA 11am-8pm, Sun 11am- 6PM",xocpcx@yahoo.com,http://orangecountyspatientcare.com/index.html,Yes,Yes,,33.712549,-117.840972,Orange
"(40+ Strains, 20+ Concentrates) The Natural Alternative Patient Association",1665 E 4th St,Santa Ana,CA,92701,7148349900,10am-7pm,TheNaturalAlternative215@yahoo.com,,,,,33.748449,-117.844364,Orange
Cool Calm - 50 CAP - MEMBER APPRECIATION,1820 E Garry Ave,Santa Ana,CA,92705,9497341841,10:30am  to 11:00pm 7 Days A Week,director.coolcalm@gmail.com,,Yes,Yes,,33.704186,-117.852756,Orange
CannaCare Wellness Center,1401 N Tustin Ave,Santa Ana,CA,92705,7146670600,11 AM - 8 PM,CannaCareWellness@gmail.com,http://www.CannaCareWellness.org,Yes,,,33.757354,-117.833438,Orange
"New Menu! Quality, Compassionate 50cap!",1102 W 17th St,Santa Ana,CA,92706,7146480195,M-TH 10 am - 8 pm Fri-Sat 10 am - 9 pm Sun 11 am - 7 pm,AMG@AMGSA.org,,Yes,Yes,,33.7599431,-117.8811036,Orange
Greenway Healing Center,2720 S Bristol St,Santa Ana,CA,92704,7145454040,"M-F 10am-9pm, Sat 10am-7pm, Sun 11am-5pm",Greenwayhealingoc@gmail.com,,Yes,Yes,Yes,33.7105223,-117.8855024,Orange
Green Coast Wellness is now Coastal Collective,2001 E 4th St,Santa Ana,CA,92705,7145422277,11am - 8pm Mon-Sat; 11am - 6pm Sun,greencoastwellness@gmail.com,http://www.greencoastwellness.com,Yes,,,33.74863,-117.838605,Orange
GanjaVana OPEN UNTIL 12AM!  ATM ON SITE! $55 CAP  New patient gets 4 GRAMS w/ 1/8 donation AND SPIN!,1535 E. 17th St.  (#201)  *Parking Behind Building!,Santa Ana,CA,92705,8184861395,10AM-12AM OR LATER,ganjavana@yahoo.com,http://www.ganjavana.com,Yes,Yes,,33.7455731,-117.8678338,Orange
USA Collective,1850 E 16th St,Santa Ana,CA,92701,7145477077,,,,Yes,Yes,,33.7589283,-117.8408979,Orange
Patients Choice Collective Association - 25% OFF ALL XXX EDIBLES ALL DAY SUNDAY!!!,1535 E 17th St,Santa Ana,CA,92705,7148367222,10am - 9pm Every day,info@patientschoicecollective.net,http://www.patientschoicecollective.net/,Yes,Yes,,33.760239,-117.846293,Orange
SOCCA - You will not find this high of a quality med for such a low donation anywhere,,Santa Ana,CA,92704,8663213459,7 Days A Week,Info@bestmeds.org,http://bestmeds.org/,,,Yes,33.7246333,-117.9073244,Orange
Access OC Central - Santa Ana,1833 E 17th St,Santa Ana,CA,92705,7149722000,Monday - Saturday 11-8 Closed Sunday,e.accessoccentral@gmail.com,http://www.accessoccentral.com,Yes,Yes,,33.760435,-117.840968,Orange
OC WeedLinks - Knowledgeable & Friendly Volunteers,,Anaheim,CA,92806,7145201789,10am to 7pm Daily,donations@ocweedlinks.com,,,,Yes,33.8362104,-117.8721676,Orange
CWA  Collective - JULY 19TH FREE GRAM no minimum donation- - SUITE 104,"1651 E. Edinger, Suite 104 (down stairs)",Santa Ana,CA,92705,7145640988,"11am-7pm M-Sat, Sunday 11-4 PM",ryanf@compassionatewellnessalternative.org,,Yes,Yes,Yes,33.7455731,-117.8678338,Orange
215DELIVERIES.COM - Orange County,,Santa Ana,CA,92701,7142924202,"10am-10pm, 7 Days a Week",215deliveries@gmail.com,http://www.215deliveries.com/,,,"215Deliveries.com - Orange County                        
                        Yes",33.7463915,-117.8604472,Orange
Patients Premium Collective,1900 E Warner Ave,Santa Ana,CA,92705,7147202735,"M -F: 12-8, S-S: 12-5",ppc420@gmail.com,,,,,33.712549,-117.840972,Orange
Peace & Harmony Collective,1535 E 17th St,Santa Ana,CA,92705,7142459393,Tues.-Fri 11:00AM-12:00AM Sat. 11:00AM-7:00PM Sun 12:00-6:00PM,phcollective@yahoo.com,,,,,33.760239,-117.846293,Orange
Santa Ana Patient Group,1823 E 17th St,Santa Ana,CA,92705,7145680041,Mon.- Sat. 11am- 8pm... Sun. 11am-6pm,,,Yes,,,33.760437,-117.841374,Orange
Orange Co. Patient Group Collective,2315 E 17th St,Santa Ana,CA,92705,7145472525,Mon-Fri 10am to 7:45pm Sat-Sun 11am to 6:45pm,,,,,,33.760115,-117.83339,Orange
Marijuana Medicine Evaluation Center,1125 E 17th St,Santa Ana,CA,92701,8002684420,,,,,,,33.761458,-117.854696,Orange
Santa Ana Medicinal Collective,1651 E Edinger Ave,Santa Ana,CA,92705,7145471373,7 Days a Week! 11am-7pm,,,,,,33.726982,-117.845496,Orange
Orange Coast Premier Collective,3619 W Pendleton Ave,Santa Ana,CA,92704,7145917000,Mon. - Thu. 11AM-8PM Fri. - Sat. 11AM-9PM Sun. 11AM-6PM,info@OCPCollective.org,,,,,33.716775,-117.917999,Orange
Omega Healthcare Collective,1800 E Garry Ave,Santa Ana,CA,92705,9498364833,10-7 M-Sat 12:20-4:20 on Sundays,Omegahcc@gmail.com,,,Yes,,33.704186,-117.852756,Orange
HLHC (HEALTHY LIVING HOSPICE CENTER),1800 E Garry Ave,Santa Ana,CA,92705,8665755430,10am to 8pm 7 days a week,,,,,,33.704186,-117.852756,Orange
Kush Kingdom 420,722 S Main St,Santa Ana,CA,92701,7148817054,"Monday - Saturday 11a-10p, Sunday 12p=8p",,,,,,33.738664,-117.86777,Orange
GHCC,2522 N Grand Ave,Santa Ana,CA,92705,7146280043,11 AM TO 9 PM,GHCC420@YAHOO.COM,,Yes,,Yes,33.7710197,-117.8524465,Orange
Riteway Wellness,1820 E Garry Ave,Santa Ana,CA,92705,9493224167,12-7pm Tuesday through Sunday. Closed Mondays,ritewayresearch@gmail.com,,Yes,,,33.704186,-117.852756,Orange
714 Collective - Santa Ana,Edinger/Main - Please call to pre verify,Santa Ana,CA,92707,,,,,,,,33.7023092,-117.8721676,Orange
Healthy Living Hospice Center (HLHC),1800 E Garry Ave,Santa Ana,CA,92705,8665755430,10am-8pm Daily,healthylivinghospicecenter@gmail.com,,Yes,,,33.704186,-117.852756,Orange
Herbal Alternative Therapy,1800 E McFadden Ave,Santa Ana,CA,92705,7146178250,7 days a week 11AM-7PM,rxinfo@hatsantaana.com,,,,,33.733479,-117.841887,Orange
MJ's Compassionate Care,13912 Ponderosa St,Santa Ana,CA,92705,7146132191,9am- 9pm,mblmtg@yahoo.com,,Yes,Yes,Yes,33.760786,-117.833142,Orange
Newport Mesa Patients Association,779 W 19th St,Costa Mesa,CA,92627,9498918289,10:00 am to 9:00 pm,newportmesapa@gmail.com,,Yes,Yes,Yes,33.64285,-117.931038,Orange
MedMar Patient Care Collective (MPCC),440 Fair Dr,Costa Mesa,CA,92626,7142419900,Mon-Fri  10am - 9pm  Sat/Sun 11am-8pm,medmarcollectivemain@gmail.com,http://www.medmarcares.com,Yes,,Yes,33.664237,-117.918135,Orange
Bulzi Rx Cooperative - New Location Coming Soon,3050 Bristol St,Costa Mesa,CA,92626,9494593770,COMING SOON!,bulzirx@gmail.com,http://www.bulzirx.com,Yes,Yes,Yes,33.683138,-117.884504,Orange
CMPA (Costa Mesa Patients Association),1755 Orange Ave,Costa Mesa,CA,92627,9496458382,Mon-Sat: 11am-8pm Sun:11am-5pm,join@costamesapatientsassociation.com,http://costamesapatientsassociation.com/,Yes,,,33.6369415,-117.9173785,Orange
Tri-County PCA,1812 Newport Blvd,Costa Mesa,CA,92627,9493105791,12pm to 10pm,endofthe55collective@gmail.com,,,,,33.640714,-117.918494,Orange
Dakini Collective,,Costa Mesa,CA,92627,7144210679,10am-10pm,info@dakinicollective.com,http://dakinicollective.com/,,,Yes,33.6496252,-117.9190418,Orange
Rite Greens- Now open at 7:00 AM! *First time patients get a free gram plus spin the prize wheel!*,1801 E Edinger Ave,Santa Ana,CA,92705,7145587167,7am-9pm Mon-Sun,ritegreens@att.net,http://www.ritegreens.com,Yes,,,33.727298,-117.842319,Orange
American Collective: Newport Beach / Costa Mesa Local's Choice Delivery Service,,Costa Mesa,CA,92627,7146002894,1 PM -10 PM  7 DAYS,,http://americancollective.com,,Yes,Yes,33.6496252,-117.9190418,Orange
GREEN BLOSSOM - DELIVERIES - ORANGE COUNTY - HUNTINGTON  - COSTA MESA -  WESTMINSTER - NEWPORT BEACH,,Huntington Beach,CA,92648,7146555962,"9AM - 10PM, FRI & SAT UNTIL MIDNIGHT FOR REGULARS",admin@greenblossom.net,http://www.greenblossom.net,,Yes,Yes,33.6781963,-118.0127534,Orange
Nature's Executive Outreach-OC DELIVERY - Offering New Patient Specials,,Huntington Beach,CA,92648,7148584372,10AM-8PM,cat@naturesexecutiveoutreach.com,http://www.naturesexecutiveoutreach.com,,,"Nature's Executive Outreach-OC Delivery                        
                        Yes",33.6781963,-118.0127534,Orange
Blazin Deliveries - $50 CAP ON ALL 4 GRAM EIGHTS-FREE JAR FOR NEW PATIENTS,,Costa Mesa,CA,92626,7144217245,Mon-Sun 12pm-Midnight,Hawkeyeavatar@live.com,http://www.blazindeliveries.com,,,"OC's Blazin Deliveries                        
                        Yes",33.6834142,-117.9073244,Orange
OC Weed Machine,,Costa Mesa,CA,92626,7149166789,1pm - 10pm 7 DAYS,,http://ocweedmachine.com,,Yes,Yes,33.6834142,-117.9073244,Orange
A Kind Delivery Service,,Huntington Beach,CA,92646,7146002894,1pm to 10pm:  7 days a week,,http://americancollective.com,,Yes,"The Kind Delivery Service                         
                        Yes",33.6690798,-117.9659037,Orange
1st Time Patients:BUY ONE 1/8 GET ONE FREE:Weekend Walk-In,newport blvd & 17th street,Costa Mesa,CA,92627,7145994064,2pm to 8pm : FRI-SAT-SUN-MON,,,Yes,Yes,Yes,33.6362984,-117.9219548,Orange
LiveWell,440 Fair Dr,Costa Mesa,CA,92626,7145490211,11am-8pm,office@livewelloc.com,,Yes,,,33.664237,-117.918135,Orange
Costa Mesa oc collective services,522 W 19th St,Costa Mesa,CA,92627,7149070397,10am to 9:00pm,,,Yes,,,33.643858,-117.920132,Orange
Canna Clinic of Garden Grove,9758 W Chapman Ave,Garden Grove,CA,92840,7145370420,11:30 - 8:00pm,johnsbcc@gmail.com,http://www.twitter.com/cannaclinic,,,,33.7884833,-117.9635489,Orange
WCC Patient Collective,7461 Garden Grove Blvd,Garden Grove,CA,92841,7149014600,11-8 weekdays 11-6 sat. closed sun. All major holidays closed,bryan@wcc420.com,http://www.wcc420.com,Yes,Yes,,33.7738783,-118.0018915,Orange
Green Hills Patients Association,13311 Garden Grove Blvd,Garden Grove,CA,92840,7147481111,Everyday 11AM -8PM,greenhillspa@gmail.com,,Yes,Yes,,33.7745526,-117.9007835,Orange
Golden State Patients Association (21 & over),12570 Brookhurst. St. #5,Garden Grove,CA,92841,7145303311,"Mon. - Sat. 11am-8pm , Sun. 12pm - 6pm",GoldenState@mail.com,,Yes,,,33.7897841,-117.9776173,Orange
3.6 Exclusive Collective $50 Cap Top Shelf Member Friendly Service,7351 Garden Grove Blvd,Garden Grove,CA,92841,7146504000,Mon-Sat 11:30-9:00 Sun 11:30-7:00 Closed Major Holidays,36collective@gmail.com,,Yes,Yes,,33.774718,-118.003269,Orange
Compassion Center,Call for address and preverification,Garden Grove,CA,92843,7148187253,11-10pm,,,Yes,,,33.7675239,-117.9424743,Orange
TOP SHELF 50/100 CAP BEACH BLVD/STANTON,10550 Beach Blvd,Stanton,CA,90680,7148261921,8-Oct,TAHAZ1@AOL.COM,HTTP://WWW.ALTERNATIVETOMATOES.COM,Yes,,Yes,33.8092103,-117.99305,Orange
"Garden Grove Nature Quest Medical DELIVERY , FREE GITS ALL DAY LONG, $50 1/8(951-323-9367)",,Garden Grove,CA,92840,9513239367,9am-11pm,naturesquestorders@gmail.com,http://naturesquestmedical.com,,Yes,Yes,33.7876938,-117.9336874,Orange
Unit D,11471 Brookhurst St,Garden Grove,CA,92840,7145909100,Mon-Sat 10 am to 8 pm Sun 10 am to 6 pm,,,,,,33.7961022,-117.958823,Orange
AAA Medical Collective of Garden Grove,12882 Western Ave,Garden Grove,CA,92841,7143483116,10am to 8pm-7days,BudHumidor@yahoo.com,,Yes,Yes,Yes,33.77516,-118.001055,Orange
INDEPENDENT COLLECTIVE OF ORANGE COUNTY (ICOC),24602 Raymond Way,Lake Forest,CA,92630,9498554420,"10-8 Mon - Sat, 11-7 Sun",jacks209@yahoo.com,,Yes,Yes,,33.6220045,-117.7017137,Orange
Lake Forest Community Collective,24602 Raymond Way,Lake Forest,CA,92630,9496907048,Monday-Saturday 11-9 Sunday 11-6,lakeforestcc@gmail.com,,Yes,Yes,,33.6220045,-117.7017137,Orange
"BCC of CA, a Non-Profit Patients Cooperative",23322 Peralta Dr,Laguna Hills,CA,92653,9497162649,Currently Closed,info@bcc420.occoxmail,,,,,33.623137,-117.723617,Orange
HUGS Collective,,Laguna Niguel,CA,92677,8774204847,10am-10pm,info@hugsdelivered.org,http://www.hugsdelivered.org/menu,,,Yes,33.5225261,-117.7075526,Orange
